algoritmo,k,regione,stima percentuale popolazione vaccinata,stima numero vaccinazioni,cluster
BISECTINGKMEANS,4,Piemonte,0.6006479906206341,2566695,2
BISECTINGKMEANS,4,Provincia Autonoma Bolzano,0.6083696354796099,324696,2
BISECTINGKMEANS,4,Provincia Autonoma Trento,0.5559959246987123,302876,0
BISECTINGKMEANS,4,Puglia,0.6134029347599945,2408791,2
BISECTINGKMEANS,4,Sardegna,0.5789854369691376,925349,1
BISECTINGKMEANS,4,Sicilia,0.5423156883175689,2625283,0
BISECTINGKMEANS,4,Toscana,0.5932702947087956,2176313,1
BISECTINGKMEANS,4,Umbria,0.6196034048043209,535965,2
BISECTINGKMEANS,4,Valle d'Aosta,0.6078130675168489,75305,2
BISECTINGKMEANS,4,Veneto,0.5913275203283782,2869389,1
BISECTINGKMEANS,5,Abruzzo,0.6255057358222798,803935,4
BISECTINGKMEANS,5,Basilicata,0.6066759316920481,332203,2
BISECTINGKMEANS,5,Calabria,0.5739010122871896,1077630,1
BISECTINGKMEANS,5,Campania,0.5978158580320045,3395450,2
BISECTINGKMEANS,5,Emilia-Romagna,0.6072800007378166,2699693,2
BISECTINGKMEANS,5,Friuli-Venezia Giulia,0.6254758069427147,749791,4
BISECTINGKMEANS,5,Lazio,0.5996202276746103,3430305,2
BISECTINGKMEANS,5,Liguria,0.6422829438238713,969722,4
BISECTINGKMEANS,5,Lombardia,0.6158433758148898,6138106,3
BISECTINGKMEANS,5,Marche,0.6122574440224696,919247,3
BISECTINGKMEANS,5,Molise,0.6525070224955909,193499,4
BISECTINGKMEANS,5,Piemonte,0.6006479906206341,2566695,2
BISECTINGKMEANS,5,Provincia Autonoma Bolzano,0.6083696354796099,324696,2
BISECTINGKMEANS,5,Provincia Autonoma Trento,0.5559959246987123,302876,0
BISECTINGKMEANS,5,Puglia,0.6134029347599945,2408791,3
BISECTINGKMEANS,5,Sardegna,0.5789854369691376,925349,1
BISECTINGKMEANS,5,Sicilia,0.5423156883175689,2625283,0
BISECTINGKMEANS,5,Toscana,0.5932702947087956,2176313,1
BISECTINGKMEANS,5,Umbria,0.6196034048043209,535965,3
BISECTINGKMEANS,5,Valle d'Aosta,0.6078130675168489,75305,2
BISECTINGKMEANS,5,Veneto,0.5913275203283782,2869389,1
